ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
90712-2001,LAKEWOOD,7170005016.0,2007.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20040924.0,462978.0,2005.0,116524.0,2005,579502.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,579502.0,0.0,579502.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20077170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2013.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,300000.0,2005.0,75000.0,2005,375000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,375000.0,0.0,375000.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20137170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2012.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,332700.0,2005.0,83700.0,2005,416400.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,416400.0,0.0,416400.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20127170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2008.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20040924.0,383700.0,2005.0,96600.0,2005,480300.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,480300.0,0.0,480300.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20087170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2009.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20040924.0,332700.0,2005.0,83700.0,2005,416400.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,416400.0,0.0,416400.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20097170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2011.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,332700.0,2005.0,83700.0,2005,416400.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,416400.0,0.0,416400.0, ,10,10106.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20117170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2015.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,388000.0,2005.0,96000.0,2005,484000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,484000.0,0.0,484000.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20157170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2006.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20040924.0,453900.0,2005.0,114240.0,2005,568140.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,568140.0,0.0,568140.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20067170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2010.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,332700.0,2005.0,83700.0,2005,416400.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,416400.0,0.0,416400.0, ,10,10106.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20107170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
90712-2001,LAKEWOOD,7170005016.0,2014.0,2274.0,7170-005-016,5329 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1957.0,1957.0,1388.0,4.0,2.0,1.0,20090916.0,366000.0,2005.0,91000.0,2005,457000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,457000.0,0.0,457000.0, ,10,10102.0,TRACT # 22258 LOT   16,5329.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20147170005016.0,33.85451201,-118.13191229,"(33.85451201, -118.13191229)"
